Time [ns],V(U1B5_M_DQ_0__B2) [V]
2.406478966,0.084506764
2.408951506,0.083507031
2.411424045,0.082468445
2.413896585,0.081402827
2.416369124,0.080321133
2.419467313,0.078960338
2.422565501,0.077613029
2.426373984,0.07599974
2.430182468,0.0744479
2.433990952,0.072956826
2.437799436,0.071513246
2.441607919,0.07009951
2.446305215,0.068381148
2.45100251,0.066697207
2.455699806,0.065077924
2.460397101,0.063563997
2.46616484,0.061897325
2.471932579,0.060468072
2.477700318,0.059277327
2.483468057,0.058317541
2.489235796,0.057589403
2.495003535,0.057106776
2.500771274,0.056886557
2.506539013,0.056932535
2.512306752,0.057224593
2.518074491,0.057721518
2.52384223,0.05837657
2.529609969,0.059146063
2.535377708,0.059990751
2.541145447,0.060873465
2.546913185,0.061754748
2.552680924,0.06259078
2.558448663,0.063333991
2.563499635,0.063873861
2.568550606,0.064283138
2.573601577,0.064545717
2.5784,0.064646521
2.579337357,0.064645619
2.580274713,0.064638448
2.582149426,0.06460762
2.585898853,0.064466678
2.591311752,0.064054299
2.596724652,0.063386478
2.602137551,0.062471118
2.607550451,0.061333823
2.612828818,0.060053497
2.618107184,0.058657846
2.618451697,0.058430592
2.618796209,0.058228118
2.619010069,0.058120364
2.619170198,0.058047861
2.619330328,0.057980509
2.619490458,0.057917272
2.619708867,0.057836815
2.619927277,0.057761784
2.620221064,0.057666978
2.62060117,0.057552125
2.62112413,0.057405009
2.621832676,0.057219441
2.622833652,0.056974061
2.624191525,0.056656829
2.625618127,0.056327203
2.627044729,0.055989708
2.6284,0.055655344
2.629586645,0.055342458
2.63077329,0.055017713
2.63314658,0.054343847
2.636340488,0.053398325
2.639534395,0.052432252
2.642728303,0.051472679
2.645922211,0.050543897
2.649116119,0.049666553
2.652310027,0.048857816
2.655503935,0.048131978
2.659693919,0.047322246
2.663883903,0.046681183
2.668073887,0.046200217
2.672263871,0.04585901
2.676453855,0.045633728
2.680643838,0.045507536
2.684833822,0.045476498
2.689023806,0.045548007
2.69321379,0.04573359
2.697403774,0.046041494
2.70250153,0.046580473
2.707599287,0.047283136
2.712697043,0.048122444
2.717794799,0.049073164
2.722892556,0.050119514
2.727990312,0.051255229
2.733088068,0.052477203
2.738185824,0.053778268
2.743283581,0.055144543
2.748381337,0.056555387
2.753479093,0.057987528
2.758576849,0.059419803
2.763674606,0.060835608
2.768772362,0.062220345
2.773870118,0.063557069
